IT、情報処理の素養はこれからの時代の『読み書きそろばん』,あいてぃーじょうほうしょりのそようはこれからのじだいのよみかきそろばん
７万戸の建物を壊し、一面を、業火と爆風に浚わせ、廃墟と化しました,まんこのたてものをこわしいちめんをごうかとばくふうにしゅんわせはいきょとかしました
何が菅談話だよ、全くばかばかしい,なにがかんだんわだよまったくばかばかしい
波平さんは、私より一つ若いんですね。ですから、五十七歳ですか。,なみへいさんはわたしよりひとつわかいんですねですからごじゅうななさいですか
なるべく冷静にしようと思い、息を４秒吸って、８秒で吐くようにしている,なるべくれいせいにしようとおもいいきをびょうすってびょうではくようにしている
何であなたはそんなにわからず屋なんだ,なんであなたはそんなにわからずやなんだ
逃げて逃げて逃げ回っているようでは国民の負託に応えることはできません,にげてにげてにげまわっているようではこくみんのふたくにこたえることはできません
20度！？,にぜろど
2021年7月23日、東京にラッパが鳴る。,にぜろにいちねんなながつにさんにちとうきょうにらっぱがなる
2020年という節目の年にあたり、世界中に嵐を巻き起こしていただきたい,にぜろにぜろねんというふしめのねんにあたりせかいじゅうにあらしをまきおこしていただきたい
2020年を新しい憲法が施行される年にしたい,にぜろにぜろねんをあたらしいけんぽうがしこうされるねんにしたい
日刊ゲンダイでも読んでみてくださいよ,にっかんげんだいでもよんでみてくださいよ
日教組！日教組！,にっきょうそにっきょうそ
日教組どうすんだ日教組！,にっきょうそどうすんだにっきょうそ
日本が大陸間弾道弾を作っても憲法上問題ない。憲法上は原子爆弾だって問題ない。小型ならば,にっぽんがたいりくかんだんどうだんをつくってもけんぽううえもんだいないけんぽううえはげんしばくだんだってもんだいないこがたならば
日本銀行は政府の子会社ですから,にっぽんぎんこうはせいふのこがいしゃですから
日本人の命、すべからく、国の最高責任者である私にあります,にほんじんのいのちすべからくくにのさいこうせきにんしゃであるわたしにあります
日本とスペインは自由、民主主義、人権、法の支配といった普遍的価値を共有し、世界の平和と発展のために貢献していく大切なパートナーだ,にっぽんとすぺいんはじゆうみんしゅしゅぎじんけんほうのしはいといったふへんてきかちをきょうゆうしせかいのへいわとはってんのためにこうけんしていくたいせつなぱとなだ
日本のイメージは大きく傷ついたわけであります,にっぽんのいめじはおおきくきずついたわけであります
日本の欠点を語ることに生きがいを求めるのではなく、日本の明日のために何をなすべきかを語り合おうではないか。,にっぽんのけってんをかたることにいきがいをもとめるのではなくにっぽんのあしたのためになにをなすべきかをかたりあおうではないか
日本の人口動態は逆説的ですが重荷ではなくボーナスなのです,にっぽんのじんこうどうたいはぎゃくせつてきですがおもにではなくぼなすなのです
日本の未来を担うみなさんへ,にっぽんのみらいをになうみなさんへ
日本は今も、これからも、二級国家にはなりません,にっぽんはいまもこれからもにきゅうこっかにはなりません
日本は昔から差別をするような国ではない,にっぽんはむかしからさべつをするようなくにではない
日本よ、日本人よ、世界の真ん中で咲き誇れ！,にっぽんよにほんじんよせかいのまんなかでさきほこれ
人間としてどうなのかなと,にんげんとしてどうなのかなと
布マスクを確保し、順次必要な枚数を配布してまいります。,ぬのますくをかくほしじゅんじひつようなまいすうをはいふしてまいります
年末に向けて財布のひもをグッと開いてもらいたい,ねんまつにむけてさいふのひもをぐっとひらいてもらいたい
野田さんは安定感がありましたよ,のださんはあんていかんがありましたよ
野田氏が首相になったら、中途半端にまともなだけに攻めにくいな,のだしがしゅしょうになったらちゅうとはんぱにまともなだけにせめにくいな
野田総理、いつもこんななんですよ。いつもこんななんです。,のだそうりいつもこんななんですよいつもこんななんです
Buy my Abenomics,びーゆーわいえむわいえーびーいーえぬおーえむあいしーえす
バカみたいな質問だな、いつも,ばかみたいなしつもんだないつも
バクシンの友,ばくしんのとも
パクチー栽培を行うため、東京から移住してきました,ぱくちさいばいをおこなうためとうきょうからいじゅうしてきました
800円で大臣を辞めさせるのですか,はちぜろぜろえんでだいじんをやめさせるのですか
はっぴを着てハッピー,はっぴをきてはっぴ
早く質問しろよ,はやくしつもんしろよ
林さんは中国のハニートラップにかかってるでしょうね,はやしさんはちゅうごくのはにとらっぷにかかってるでしょうね
韓鶴子総裁をはじめ皆さまに敬意を表します。,かんつるこそうさいをはじめみなさまにけいいをあらわします
パンプスの着用を強制するのは許されない,ぱんぷすのちゃくようをきょうせいするのはゆるされない
非常にしつこい,ひじょうにしつこい
非常にジューシー,ひじょうにじゅし
非常に生乳たっぷり,ひじょうにせいにゅうたっぷり
"""非正規""という言葉をこの国から一掃してまいります",ひせいきということばをこのくにからいっそうしてまいります
一つだけ大きなミスを犯してしまいました。エレベーターまでつけてしまいました,ひとつだけおおきなみすをおかしてしまいましたえれべたまでつけてしまいました
人として根本的にダメだ,にんとしてこんぽんてきにだめだ
人に対して威張ったり、地位を利用して従わせるのではなく、まず自分の人格や魅力を磨くのが大事,にんにたいしていばったりちいをりようしてしたがわせるのではなくまずじぶんのじんかくやみりょくをみがくのがだいじ
批判を受ければ受けるほどやってやろうという闘志が湧いてきます,ひはんをうければうけるほどやってやろうというとうしがわいてきます
批評するだけの人間に価値はありません,ひひょうするだけのにんげんにかちはありません
100の言葉より1の結果であります,いちぜろぜろのことばよりいちのけっかであります
貧乳時代宣言をここに発令いたします,ひんにゅうじだいせんげんをここにはつれいいたします
(夫婦別姓に)反対している人がいるんだよねー,ふうふべっせいにはんたいしているにんがいるんだよね
フジサンケイグループの皆さまに改めて敬意を表します,ふじさんけいぐるぷのみなさまにあらためてけいいをあらわします
復興五輪と言うべき本年のオリンピック・パラリンピックなどの機会を通じて、復興しつつある被災地の姿を実感していただきたい,ふっこうごりんというべきほんねんのおりんぴっくぱらりんぴっくなどのきかいをつうじてふっこうしつつあるひさいちのすがたをじっかんしていただきたい
不毛なレッテル貼りはやめお互いに政策論争をしていきましょう,ふもうなれってるはりはやめおたがいにせいさくろんそうをしていきましょう
"Please, look at me.",ぴーえるいーえーえすいーえるおーおーけーえーてぃーえむいー
ぷりぷり。元気が出そう,ぷりぷりげんきがだそう
プリンとしていて中から美味しい汁が出てきて…,ぷりんとしていてなかからおいしいしるがでてきて
雰囲気がどうであれ、その場において、政治家が語る言葉は真実を語らなければならない,ふんいきがどうであれそのばにおいてせいじかがかたることばはしんじつをかたらなければならない
米国に二人の大統領が存在するということを世界に示してはならない,べいこくにふたりのだいとうりょうがそんざいするということをせかいにしめしてはならない
米国の国民が戦死者に敬意を示す場所であるアーリントン国立墓地を考えてみてください,べいこくのこくみんがせんししゃにけいいをしめすばしょであるありんとんこくりつぼちをかんがえてみてください
平和を愛する諸国民って誰ですかってことなんですよね,へいわをあいするしょこくみんってだれですかってことなんですよね
ペット用のセサミンを家内が飲んでいたことがあったんです,ぺっとようのせさみんをかないがのんでいたことがあったんです
法律についての説明は全く正しいと思いますよ、私は総理大臣なんですから,ほうりつについてのせつめいはまったくただしいとおもいますよわたしはそうりだいじんなんですから
報道が間違えた原因が私にあるかのように、また妻にあるかのように言うのは、それは間違っていますよ,ほうどうがまちがえたげんいんがわたしにあるかのようにまたつまにあるかのようにいうのはそれはまちがっていますよ
「報道しない自由」によって握り潰されています,ほうどうしないじゆうによってにぎりつぶされています
「僕ちゃん知らない」なんて私、一言でも言いました？,ぼくちゃんしらないなんてわたしひとことでもいいました
僕は同期のみんなを安倍政権で大事にする,ぼくはどうきのみんなをあべせいけんでだいじにする
誇りは砕け散ってしまった、もう安倍晋三は終わった,ほこりはくだけちってしまったもうあべしんぞうはおわった
ポツダム宣言というのは、アメリカが原子爆弾を二発も落として日本に大変な惨状を与えたあと、「どうだ」とばかり叩きつけたものです,ぽつだむせんげんというのはあめりかがげんしばくだんをにはつもおとしてにっぽんにたいへんなさんじょうをあたえたあとどうだとばかりたたきつけたものです
ほとんどの教科書に自衛隊が違憲であるという記述があります,ほとんどのきょうかしょにじえいたいがいけんであるというきじゅつがあります
本日、我が党所属であった現職国会議員が逮捕されたことについては、大変遺憾であります,ほんじつわがとうしょぞくであったげんしょくこっかいぎいんがたいほされたことについてはたいへんいかんであります
ほんとこのボール、3分もたないね,ほんとこのぼるさんふんもたないね
まあいいじゃんそういうの,まあいいじゃんそういうの
よくないですよ,よくないですよ
まぁ空想にとどまって思考停止なのかなと、こんな感じがするわけであります,まぁくうそうにとどまってしこうていしなのかなとこんなかんじがするわけであります
マイメロに検討していきたい,まいめろにけんとうしていきたい
前原さんはいろいろ活動されていて、本当に選挙強いね,まえはらさんはいろいろかつどうされていてほんとうにせんきょつよいね
まさに、「国家機密」です（笑）,まさにこっかきみつですわらい
まさに ビューティフルハーモニー（令和）ではないか,まさにびゅてぃふるはもにれいわではないか
まさに我が国が禁治産者であるということを宣言するような極めて恥ずかしい政府見解ではないか,まさにわがくにがきんちさんしゃであるということをせんげんするようなきわめてはずかしいせいふけんかいではないか
まずですねあまり人を指すのはやめた方がいいですよ,まずですねあまりにんをさすのはやめたほうがいいですよ
まず、我が国が武力攻撃を受けた、これは、蓋然性については、まさに──ちょっと待ってください。,まずわがくにがぶりょくこうげきをうけたこれはがいぜんせいについてはまさにちょっとまってください
まったく言ってないことを言ったかのごとく言うのはデマゴーグ,まったくいってないことをいったかのごとくいうのはでまごぐ
全く素人の人たちが、たった８日間でつくり上げた代物だ,まったくしろうとのにんたちがたったにちかんでつくりあげたしろものだ
まるで私たちがですね、統計をいじってアベノミクスをよくしようとしている、そんなことできるはずないじゃないですか,まるでわたしたちがですねとうけいをいじってあべのみくすをよくしようとしているそんなことできるはずないじゃないですか
見方によってはですね、それには、応じるかもしれない、ということかもしれない、という分析も出来るんだろうな、と思っています,みかたによってはですねそれにはおうじるかもしれないということかもしれないというぶんせきもできるんだろうなとおもっています
ミクロで見ていけばですね、いろんな方々がおられます,みくろでみていけばですねいろんなかたがたがおられます
見た目が結構迫力があったものでございますから、少しこわごわ手を出したところ、ぺろっとなめていただいたんです,みためがけっこうはくりょくがあったものでございますからすこしこわごわてをだしたところぺろっとなめていただいたんです
みっともない憲法ですよ、はっきり言って,みっともないけんぽうですよはっきりいって
皆さんこういうことはやめましょう恥ずかしいですから,みなさんこういうことはやめましょうはずかしいですから
皆さん楽しんでますか,みなさんたのしんでますか
みなさんも我慢の限界、そんな思いなんだろうと思います,みなさんもがまんのげんかいそんなおもいなんだろうとおもいます
無理に国益を害するというつもりも全くございません,むりにこくえきをがいするというつもりもまったくございません
迷惑はかけない。 絶対に保証する,めいわくはかけないぜったいにほしょうする
もうこれは止めようよ,もうこれはとめようよ
もう少し国語力を鍛えていただきたい,もうすこしこくごりょくをきたえていただきたい
もし刑務所に入ることになったとしても、またがんばればいいんですよ,もしけいむしょにいることになったとしてもまたがんばればいいんですよ
もちろん応援しております,もちろんおうえんしております
もっと強気で行け。PMより,もっとつよきでいけぴーえむより
最も卑劣な行為だと思います,もっともひれつなこういだとおもいます
最早国籍や国境にこだわる時代は過ぎ去りました,もはやこくせきやこっきょうにこだわるじだいはすぎさりました
やじは議場の華,やじはぎじょうのはな
やじはやめて下さいよ,やじはやめてくださいよ
席からヤジるのだけはやめていただけますか,せきからやじるのだけはやめていただけますか
やっとそこまで来たんですね。,やっとそこまできたんですね
やっと「デフレではない」状況つくり出したがまだデフレから脱却していない,やっとでふれではないじょうきょうつくりだしたがまだでふれからだっきゃくしていない
やっぱり自共対決ですね。志位さんとの議論が一番かみ合う,やっぱりじきょうたいけつですねしいさんとのぎろんがいちばんかみあう
やはり大切なのは、物理的なバリアではなく心のバリアなのかなと思います,やはりたいせつなのはぶつりてきなばりあではなくこころのばりあなのかなとおもいます
やはり皆さんルールはしっかり守っていこうではありませんか,やはりみなさんるるはしっかりまもっていこうではありませんか
やれぇ！,やれぇ
優秀な外国人材の皆さんにもっと日本で活躍していただくためにこの制度は必要であります,ゆうしゅうながいこくじんざいのみなさんにもっとにっぽんでかつやくしていただくためにこのせいどはひつようであります
ゆずは九年の花盛り。このゆずまでは私も責任を持ってしっかりと大きな花を日本に咲かせていきたい,ゆずはきゅうねんのはなざかりこのゆずまではわたしもせきにんをもってしっかりとおおきなはなをにっぽんにさかせていきたい
よく暴走と言われますが、暴走して私はどこに行くんですか？私は何をしようとしているんですか？言ってる人に聞いてみたい,よくぼうそうといわれますがぼうそうしてわたしはどこにいくんですかわたしはなにをしようとしているんですかいってるにんにきいてみたい
与党から良い質問が出た,よとうからよいしつもんがでた
拉致問題を解決できるのは安倍政権だけだと私が言ったことはございません,らちもんだいをかいけつできるのはあべせいけんだけだとわたしがいったことはございません
リーマンブラザーズがもしリーマンブラザーズアンドシスターズだったら破綻しなかっただろう,りまんぶらざずがもしりまんぶらざずあんどしすたずだったらはたんしなかっただろう
輪転機をぐるぐる回して、日本銀行に無制限にお札を刷ってもらう,りんてんきをぐるぐるまわしてにっぽんぎんこうにむせいげんにおさつをすってもらう
ルイ16世と同じとまで言われると、多くの方々はそれは違うのではないかと思うのではないか,るいいちろくよとおなじとまでいわれるとおおくのかたがたはそれはちがうのではないかとおもうのではないか
ルール守んなきゃ,るるしゅんなきゃ
「令和」には、人々が美しく心を寄せ合う中で文化が生まれ育つという意味が込められております,れいわにはひとびとがうつくしくこころをよせあうなかでぶんかがうまれそだつといういみがこめられております
蓮舫が,れんほうが
ロシアの学生にはどんどん日本に来ていただけるよう、簡単にビザが取れるようにします,ろしあのがくせいにはどんどんにっぽんにきていただけるようかんたんにびざがとれるようにします
ロシアの、若人のために。,ろしあのわこうどのために
論理崩壊してるんじゃない？論理崩壊,ろんりほうかいしてるんじゃないろんりほうかい
わーくに,わくに
ワガグン,わがぐん
わたくしはおいそれと消えていなくなったりはしませんよ,わたくしはおいそれときえていなくなったりはしませんよ
わたくしはカムバックいたしました,わたくしはかむばっくいたしました
わたくしはめったに激怒しない人間としてですね,わたくしはめったにげきどしないにんげんとしてですね
私が完全勝利をしましたけれどもね、私が。この問題については完全に勝利をしました、菅さんに対して,わたしがかんぜんしょうりをしましたけれどもねわたしがこのもんだいについてはかんぜんにしょうりをしましたかんさんにたいして
私が国家ですよ,わたしがこっかですよ
私が話しているのは真実。それを信じてもらえないということになれば、予算委員会が成立しない,わたしがはなしているのはしんじつそれをしんじてもらえないということになればよさんいいんかいがせいりつしない
私がワンと一声吠えただけでみんな大慌てだよ,わたしがわんとひとこえほえただけでみんなだいあわてだよ
私だって職をかけて答弁してるんですよ 真面目に聞いてください！,わたしだってしょくをかけてとうべんしてるんですよまじめにきいてください
私と官房長官は短期間のうちに死亡するそうです（笑）,わたしとかんぼうちょうかんはたんきかんのうちにしぼうするそうですわらい
私にごまをすろう、おもねろうという意味での忖度は全く求めていない。そうすることによって人事に影響がある、偉くなることは全くあり得ない,わたしにごまをすろうおもねろうといういみでのそんたくはまったくもとめていないそうすることによってじんじにえいきょうがあるえらくなることはまったくありえない
私にとって憎っくき石井だ！,わたしにとってにくっくきいしいだ
私の足を掬うための財務省の策略の可能性がゼロではない,わたしのあしをすくうためのざいむしょうのさくりゃくのかのうせいがぜろではない
私の世代でこの問題に終止符を打つ,わたしのせだいでこのもんだいにしゅうしふをうつ
私の「ドリル」から無傷ではいられません,わたしのどりるからむきずではいられません
私は、漢方薬のようにじわじわと,わたしはかんぽうやくのようにじわじわと
私はこのドラマを副総理には見せないようにしようと思っている,わたしはこのどらまをふくそうりにはみせないようにしようとおもっている
私はそういう趣味だと思われていたんですよ（笑）,わたしはそういうしゅみだとおもわれていたんですよわらい
私は存じ上げておりません,わたしはぞんじあげておりません
私は頼まれたら断らない,わたしはたのまれたらことわらない
私は誰かをうそつきとは言いたくありません,わたしはだれかをうそつきとはいいたくありません
私は、幅広く募っているという認識でございまして、募集しているという認識ではなかったのであります。,わたしははばひろくつのっているというにんしきでございましてぼしゅうしているというにんしきではなかったのであります
私はまだ（ポツダム宣言の）その部分をつまびらかに読んでおりませんので,わたしはまだぽつだむせんげんのそのぶぶんをつまびらかによんでおりませんので
私はもう総理ではないから議論しろよという思いだ,わたしはもうそうりではないからぎろんしろよというおもいだ
私は立法府の長であります,わたしはりっぽうふのちょうであります
私や妻が関係していたということになれば総理大臣も国会議員も辞める,わたしやつまがかんけいしていたということになればそうりだいじんもこっかいぎいんもやめる
私達が責任を取ればいいというものではありません,わたしたちがせきにんをとればいいというものではありません
私を右翼の軍国主義者と呼びたいならばどうぞそうお呼びください,わたしをうよくのぐんこくしゅぎものとよびたいならばどうぞそうおよびください
われわれが仲介しているが、主催は参加者だ,われわれがちゅうかいしているがしゅさいはさんかしゃだ
███,
選挙での公明党の力は大きい,せんきょでのこうめいとうのちからはおおきい
ディミントー,でぃみんと
